"","x","y","z"
"A1",0.0799293665536104,-0.0348223894275584,0.991793289937524
"A2",0.168665920865202,-0.0490070249753919,0.979950523618312
"A3",0.198342314417689,-0.0065432139654683,0.9755205329906
"A4",0.198639983375042,-0.0164862074609455,0.975351722103655
"A5",0.397678703634968,-0.0197088043212869,0.912260025383041
"A6",0.39744360935247,0.205293552312038,0.889087118450362
"A7",0.202695647971064,0.226189224774026,0.947943287901788
"A8",0.186849253254399,0.228066621622042,0.950756857449398
"A9",0.197550207495121,0.220605640252769,0.950344607322639
"A10",0.0945397667203309,0.207563305546928,0.969004138791658
"A11",-0.118126765207733,0.181139253141933,0.971863506145448
"A12",-0.140222618486276,-0.00959411932244201,0.985776726557469
"A13",-0.117618369553067,-0.208470945034334,0.966806345383246
"A14",0.0737861856936692,-0.227942175995775,0.966652868261033
"A15",0.175406969558162,-0.266183340130541,0.943499299228415
"A16",0.19509772050186,-0.244437608806755,0.945454773030824
"A17",0.198274851102682,-0.267303490003785,0.938625202049008
"A18",0.372402233138441,-0.255670258188297,0.88736357052436
"A19",0.595740086327065,-0.0178427967697559,0.797046219044588
"A20",0.576469323062631,0.253791854911168,0.770535124917544
"A21",0.419517265406521,0.399612500936836,0.809417502833358
"A22",0.18506295443776,0.447834118736632,0.869717237669109
"A23",0.166929229357357,0.437494439875912,0.878600695666941
"A24",0.188088485633754,0.452427316516078,0.866690980922207
"A25",0.101390551725744,0.425491125450824,0.89438901803052
"A26",-0.154141000800739,0.393884567073917,0.901448197146729
"A27",-0.315241782444924,0.232305665573156,0.915520777857838
"A28",-0.345154986915386,0.00935250918631232,0.934065892039498
"A29",-0.323863503690769,-0.231274497769279,0.91318905537413
"A30",-0.188358133745965,-0.405369560264011,0.890548964285147
"A31",0.0812385230897145,-0.452285991103435,0.884099028356401
"A32",0.149310448749224,-0.493800581211208,0.852515118426124
"A33",0.183144827688914,-0.485106639157693,0.850851188382212
"A34",0.183676449650765,-0.490699223100618,0.847539627856709
"A35",0.397673806695919,-0.454695462597038,0.792105884368163
"A36",0.571917730483743,-0.303555219391733,0.756389781795359
"A37",0.756307679306551,-0.0384022666883234,0.645712560821967
"A38",0.732570899365292,0.186049075707874,0.647346153387394
"A39",0.58695447454931,0.428420918814179,0.680282954063607
"A40",0.398123438690396,0.603623308269309,0.684683438850129
"A41",0.184168864253581,0.652888872115938,0.729296275452953
"A42",0.146829531294024,0.647499983097051,0.742457205367704
"A43",0.158667618248111,0.648194401628791,0.739405343072394
"A44",0.126678108928948,0.61837220517363,0.770387679305419
"A45",-0.0649300617917641,0.603414110714987,0.789774506346617
"A46",-0.271302968478252,0.526472106433942,0.800767847741155
"A47",-0.423153996033647,0.38296992944501,0.816125970069667
"A48",-0.512629184206123,0.212390837891644,0.826908419864253
"A49",-0.543126883081616,0.0449310319055047,0.833524690966042
"A50",-0.504751216799836,-0.200482828776849,0.835047826145045
"A51",-0.431967445110898,-0.404689414977401,0.801643489205187
"A52",-0.291535270187572,-0.543367948908564,0.783184897761391
"A53",-0.0966620054293249,-0.623457018704976,0.771939620038786
"A54",0.114785769458957,-0.635831412755964,0.759153235759116
"A55",0.151465515394825,-0.66829134387772,0.724128941558685
"A56",0.166459447800605,-0.651405546952958,0.736041615768127
"A57",0.183672755016448,-0.670667121801685,0.714393889234514
"A58",0.359494732235079,-0.637463435412165,0.676625664992879
"A59",0.546467887178518,-0.517232990815272,0.652892097354799
"A60",0.721384476660206,-0.287892461159521,0.622775919103695
"A61",0.884128329259813,-0.0702262126328978,0.451524749277757
"A62",0.85495274520399,0.180514942606308,0.476309371846773
"A63",0.754091946761795,0.434136780321531,0.483568444840595
"A64",0.587249373306516,0.623527970014015,0.508101223190926
"A65",0.378894847532193,0.762374772032708,0.517640951832312
"A66",0.155808803132766,0.808375328828739,0.561594636044636
"A67",0.154968802678718,0.805553624848869,0.565845572153903
"A68",0.139017208609984,0.811273894595823,0.561851447084502
"A69",0.0925934035199587,0.77838660939139,0.615206969909232
"A70",-0.117672476042113,0.751189507671634,0.64405726728161
"A71",-0.342696211158463,0.653445770046623,0.669467922679671
"A72",-0.478828236684157,0.545514389768163,0.682212732231494
"A73",-0.604287741767539,0.403624298910092,0.681077506023775
"A74",-0.69462009368565,0.215814636519607,0.680178293079634
"A75",-0.728806755294048,0.0117695343699497,0.678584359734065
"A76",-0.692847630481176,-0.227033191169375,0.678742026188799
"A77",-0.629014462841033,-0.401885408595505,0.660095165933214
"A78",-0.501686644768967,-0.571174741771693,0.644812596943262
"A79",-0.34015389491695,-0.690675336778917,0.633757325014057
"A80",-0.164780580374909,-0.769425999401034,0.61289761817425
"A81",0.056158706925586,-0.798337029950086,0.595260858050142
"A82",0.15149795244757,-0.829406884759468,0.532961076354151
"A83",0.120727512974906,-0.833222853570513,0.534918964544897
"A84",0.134563572057731,-0.818650440436647,0.553691681478895
"A85",0.33117608325049,-0.797597893098115,0.498616882413688
"A86",0.551657079063153,-0.677348030441277,0.479816560838563
"A87",0.704121921970254,-0.529205673572051,0.465218618337585
"A88",0.847741877692539,-0.266203092335161,0.448836500350136
"A89",0.964483933524989,-0.0472844528516919,0.241148834270937
"A90",0.94533302211789,0.200224131485425,0.238637351404318
"A91",0.86511374469756,0.423085646625615,0.252633763896072
"A92",0.721619043365208,0.621122143653936,0.292524617214299
"A93",0.574466099793017,0.756705082508919,0.300555174524383
"A94",0.350843110501069,0.873932582380381,0.327072818566856
"A95",0.139915498236153,0.917314329880594,0.364917438567698
"A96",0.133170230855891,0.916134999045187,0.370343610656004
"A97",0.130322411136705,0.913969202914875,0.37662185773751
"A98",0.0561901345154809,0.90247310698262,0.420052792511858
"A99",-0.127525084203783,0.887907466390717,0.435204156829929
"A100",-0.322088309923812,0.816796105119281,0.471948897357692
"A101",-0.52295197462807,0.693910813296542,0.487866035453953
"A102",-0.635899699623706,0.583637328447636,0.497516098958353
"A103",-0.75685902930459,0.41551430653118,0.496470430055195
"A104",-0.831932832274595,0.199651228044261,0.50954767808888
"A105",-0.85547521535714,0.00601443875019758,0.509650679422373
"A106",-0.837598540527765,-0.177453222916585,0.50877917359119
"A107",-0.772897515279945,-0.388322476719262,0.494389689095209
"A108",-0.659644417797371,-0.581822548556473,0.468878928778398
"A109",-0.536137216347724,-0.714036774171909,0.443818126722535
"A110",-0.367692983531416,-0.811365355345448,0.448813343940803
"A111",-0.16901099769367,-0.89622726238054,0.404574784477002
"A112",0.0280565020709655,-0.92283731089578,0.378332813301834
"A113",0.11415936312377,-0.930805245403088,0.340709987779425
"A114",0.113057477186429,-0.931372120494993,0.339531258854291
"A115",0.114775491636199,-0.931113040550198,0.33965895965784
"A116",0.369116148090018,-0.881082744262356,0.286908328502803
"A117",0.481499486316647,-0.822710031561041,0.292646857045209
"A118",0.693046810832131,-0.665791396325768,0.263569288784692
"A119",0.840672002057466,-0.470883680967084,0.251818897257381
"A120",0.938303983715391,-0.248241726569425,0.221290134163162
"A121",0.993324336732812,-0.0605398311794103,0.0228660316835123
"A122",0.970430947771873,0.219770182540953,0.0319742254253668
"A123",0.886120827925036,0.45315681696788,0.0348440109538744
"A124",0.746296109459392,0.658578784338796,0.0461327058333317
"A125",0.573660050200781,0.809590157393624,0.0959954660931474
"A126",0.336900689019321,0.930568502094437,0.123368522838311
"A127",0.123502388067391,0.97932515964818,0.144137186185469
"A128",0.120192932761513,0.979686221815293,0.144494060009446
"A129",0.104039342490871,0.982426411322931,0.138431358475186
"A130",0.044694401588048,0.975295191859481,0.20442613066005
"A131",-0.177213341289652,0.958727184617043,0.210574918365987
"A132",-0.384772467663957,0.885270404615664,0.250151578466983
"A133",-0.584288829023895,0.76114674664107,0.269736998831032
"A134",-0.730599850413411,0.614587316010907,0.284935144314901
"A135",-0.844273213761978,0.439016707898573,0.293981817923557
"A136",-0.920183446406776,0.224206597229035,0.307317608379271
"A137",-0.945980582501709,0.0366891160029674,0.308399073144561
"A138",-0.925901364242907,-0.213035703133119,0.298279637466238
"A139",-0.851211176617975,-0.427009021995001,0.29233220128427
"A140",-0.755861865370377,-0.588865965832304,0.273928141268706
"A141",-0.581161761163669,-0.76866053592067,0.256236947447174
"A142",-0.422081466667146,-0.875802824771687,0.223161694342246
"A143",-0.204671338099624,-0.956800866879019,0.195519499479249
"A144",0.0026315666487449,-0.9823460623859,0.17527222512327
"A145",0.0976691808495907,-0.986701131230335,0.111888877157516
"A146",0.0872336390699019,-0.988693800269411,0.102550459303647
"A147",0.115892238177336,-0.985729830894244,0.102553174935467
"A148",0.332888814257946,-0.936497227140392,0.0852386898575378
"A149",0.521427341672464,-0.84805169410922,0.0568594022435526
"A150",0.722866115532727,-0.684879529448372,0.0388275979767934
"A151",0.864082877090295,-0.494431581147486,0.0304952932622562
"A152",0.960123429554791,-0.261685382055201,0.0295896989979935
"A153",0.503346298840827,0.8607720633315,-0.00941605053548788
"A154",0.297293933260207,0.952156659982493,0.0110084653655385
"A155",0.116127851085681,0.990301538816517,0.0350670925108618
"A156",0.111101975522273,0.991497934954475,0.0079813913547611
"A157",0.100228024960292,0.992541165688099,0.0168778143993929
"A158",0.0935314124468566,0.993358818471548,-0.000774849070890432
"A159",-0.281955877536288,0.95414778952875,0.0718737717699583
"A160",-0.496941742235646,0.858588390099246,0.100709213139437
"A161",-0.672953527052313,0.727815017819596,0.103763029185969
"A162",-0.83322739108192,0.531885101390959,0.122836721297602
"A163",-0.913919488742331,0.37215877745088,0.133749199516846
"A164",-0.970400530169939,0.15791197557275,0.156785508560728
"A165",-0.985533623568751,-0.0567486064748253,0.12888236184777
"A166",-0.939626742683386,-0.303760308217865,0.128061725885848
"A167",-0.83745874044206,-0.526332968100652,0.118653894595792
"A168",-0.68419014617008,-0.717044397859465,0.106151244552375
"A169",-0.521530470359603,-0.846769120597996,0.0734605145547584
"A170",-0.333096603101638,-0.939436747333104,0.0401170361030422
"A171",0.0604620502942652,-0.995427850517863,-0.0307466121727556
"A172",0.0677899670190881,-0.995138710736008,-0.0242939207881013
"A173",0.0703967145012453,-0.994886011857957,-0.0269718339171764
"A174",0.0923990182162442,-0.993413996371575,-0.00931370446229194
"A175",0.296351424610916,-0.952275048372069,-0.0214996825371046
"A176",0.450850571988867,-0.888177827093282,-0.0491727055360795
"A177",0.606022782003875,0.791147730499659,-0.0264057909338836
"A178",0.352614069232573,0.931770880760895,-0.0502817870009809
"A179",0.102657109897177,0.992398310716287,0.00943198041587127
"A180",0.113056914549348,0.991206355741554,0.013792624032455
"A181",-0.394213150774653,0.914680257939054,0.0521054802020662
"A182",-0.582046042602339,0.806416517429365,0.0694115021352985
"A183",-0.738432861714264,0.662162146224326,0.0959230466913147
"A184",-0.878086392723472,0.451451384691082,0.13066366128862
"A185",-0.956946758940588,0.244218183414061,0.126127914179095
"A186",-0.984765363501481,0.0491341414954253,0.137539850887787
"A187",-0.969497112096824,-0.189956407554176,0.123571845779864
"A188",-0.896889883242072,-0.425209277070064,0.0817899869360659
"A189",-0.762042565340199,-0.634228605328962,0.100201484326419
"A190",-0.617674496988007,-0.780838947418091,0.0512415625307703
"A191",-0.43769808445908,-0.8952995189495,0.0398373480304719
"A192",0.0700643612540276,-0.995286425850765,-0.00434581766649763
"A193",0.120738430482121,-0.990263862645052,-0.016047298471349
"A194",0.413044450569899,-0.903116705885224,-0.0916502828251488
"A195",0.561061054947805,-0.819135117428682,-0.0906126828077593
"A196",0.123427999251467,0.989942039135652,0.0150825880873383
"A197",0.103883020381808,0.991963611375792,0.0257289750780675
"A198",0.0874228926308634,0.993436192715583,0.0299274520184614
"A199",-0.490067092338705,0.866824897001006,0.0530888006779484
"A200",-0.666777776159827,0.735169359816681,0.0912853646200603
"A201",-0.81583921782852,0.563891268612233,0.094011146783252
"A202",-0.929388143778618,0.347892228145687,0.0820635323129943
"A203",-0.976668788697284,0.139556043554672,0.133370477514979
"A204",-0.985083978238061,-0.0887132018003296,0.113358560191449
"A205",-0.937175993299475,-0.325035349013062,0.0872168766046011
"A206",-0.842639381076381,-0.524968521485744,0.0819851231787722
"A207",-0.7000182991111,-0.706286094995116,0.0671535614311921
"A208",-0.546885154796764,-0.831481887914217,0.0617846439141293
"A209",0.085509079408822,-0.994065689107049,0.00723826055426199
"A210",0.079580434906156,-0.994520148352744,-0.0100696444702777
"A211",0.0844638820746247,-0.99403988594732,-0.0156065911840927
"A212",0.315904755545478,0.946130159558548,-0.012043011944156
"A213",0.126173992040127,0.989293381097787,0.0281611720087359
"A214",0.114984754660748,0.991030965341031,0.0101675639481854
"A215",-0.434346006594161,0.895357391598245,0.0653134056783436
"A216",-0.562695666433616,0.818205263346131,0.0888279271164228
"A217",-0.741259414331373,0.655146530624636,0.119241403793983
"A218",-0.877419249771042,0.451444316152114,0.135101899385697
"A219",-0.952346756229622,0.262952432326882,0.123394207904533
"A220",-0.98522451475859,0.0312301344672706,0.13946564852744
"A221",-0.968098306017544,-0.207011220176439,0.105888833220829
"A222",-0.89663843481119,-0.42459853790476,0.0875612740136634
"A223",-0.795354579348567,-0.596346946997047,0.0669503050794413
"A224",-0.622833800307339,-0.776029807820734,0.0608300209650159
"A225",-0.43117978538757,-0.897855468601274,0.052116980981284
"A226",0.0736273461488321,-0.995038647244033,0.00301807471724409
"A227",0.105889946899714,-0.991512629855461,-0.0336394807534034
"A228",0.262345918141907,-0.961387182600416,-0.0454855294710355
"A229",0.44935644948343,0.890017540206104,-0.0244154349526981
"A230",0.260929466531056,0.962800448672072,0.0115360112196965
"A231",0.110796086656069,0.991494412929698,0.0115351041739144
"A232",0.0952362377340912,0.992655447674668,0.0317221719481019
"A233",0.0997035798715015,0.992715703918127,0.00786391144967093
"A234",-0.504311485249836,0.857704672946048,0.0655791030064101
"A235",-0.638512011237105,0.760381423158479,0.0877034813215171
"A236",-0.827090324001545,0.549985459764917,0.0759608031106488
"A237",-0.922004386671515,0.358011126854165,0.115395942418572
"A238",-0.978633814664119,0.135771855325937,0.122354082830987
"A239",-0.987273058429308,-0.0665902422329015,0.109275757880038
"A240",-0.945353944725179,-0.291072324071789,0.114402284478908
"A241",-0.848123337821581,-0.5100740133859,0.113406197467534
"A242",-0.709936614297713,-0.693186852245342,0.0939819675087189
"A243",-0.537427601681391,-0.835213496819694,0.0891383258654061
"A244",0.0868663969125892,-0.993844394925844,0.0164599061277627
"A245",0.0876925589620454,-0.993710151173092,0.0199918436096808
"A246",0.0969175938027711,-0.993033368784979,-0.000145810466265805
"A247",0.228927269118767,-0.970027407034188,-0.0433186621039757
"A248",0.407386881512581,-0.904957037960196,-0.098589693775133
